vendor,title,published,url,description
Google,Google faces potential cybersecurity audit failure,2025-07-24 17:22:27+00:00,https://example.com/google-cybersecurity-audit-failure,A recent cybersecurity audit failure involving Google has raised concerns in the industry.
CrowdStrike,CrowdStrike faces potential vulnerability disclosure,2025-07-23 17:22:27+00:00,https://example.com/crowdstrike-vulnerability-disclosure,A recent vulnerability disclosure involving CrowdStrike has raised concerns in the industry.
CrowdStrike,CrowdStrike faces potential ransomware attack,2025-07-26 17:22:27+00:00,https://example.com/crowdstrike-ransomware-attack,A recent ransomware attack involving CrowdStrike has raised concerns in the industry.
Apple,Apple faces potential vulnerability disclosure,2025-07-22 17:22:27+00:00,https://example.com/apple-vulnerability-disclosure,A recent vulnerability disclosure involving Apple has raised concerns in the industry.
Palo Alto Networks,Palo Alto Networks faces potential system outage,2025-07-24 17:22:27+00:00,https://example.com/palo-alto-networks-system-outage,A recent system outage involving Palo Alto Networks has raised concerns in the industry.
Amazon Web Services,Amazon Web Services faces potential system outage,2025-07-25 17:22:27+00:00,https://example.com/amazon-web-services-system-outage,A recent system outage involving Amazon Web Services has raised concerns in the industry.
Cisco,Cisco faces potential compliance violation,2025-07-23 17:22:27+00:00,https://example.com/cisco-compliance-violation,A recent compliance violation involving Cisco has raised concerns in the industry.
Amazon Web Services,Amazon Web Services faces potential data breach,2025-07-21 17:22:27+00:00,https://example.com/amazon-web-services-data-breach,A recent data breach involving Amazon Web Services has raised concerns in the industry.
Fortinet,Fortinet faces potential ransomware attack,2025-07-25 17:22:27+00:00,https://example.com/fortinet-ransomware-attack,A recent ransomware attack involving Fortinet has raised concerns in the industry.
Palo Alto Networks,Palo Alto Networks faces potential vulnerability disclosure,2025-07-27 17:22:27+00:00,https://example.com/palo-alto-networks-vulnerability-disclosure,A recent vulnerability disclosure involving Palo Alto Networks has raised concerns in the industry.
Microsoft,Microsoft faces potential malware infiltration,2025-07-21 17:22:27+00:00,https://example.com/microsoft-malware-infiltration,A recent malware infiltration involving Microsoft has raised concerns in the industry.
Amazon Web Services,Amazon Web Services faces potential vulnerability disclosure,2025-07-27 17:22:27+00:00,https://example.com/amazon-web-services-vulnerability-disclosure,A recent vulnerability disclosure involving Amazon Web Services has raised concerns in the industry.
Cisco,Cisco faces potential ransomware attack,2025-07-26 17:22:27+00:00,https://example.com/cisco-ransomware-attack,A recent ransomware attack involving Cisco has raised concerns in the industry.
Cisco,Cisco faces potential system outage,2025-07-23 17:22:27+00:00,https://example.com/cisco-system-outage,A recent system outage involving Cisco has raised concerns in the industry.
Amazon Web Services,Amazon Web Services faces potential malware infiltration,2025-07-26 17:22:27+00:00,https://example.com/amazon-web-services-malware-infiltration,A recent malware infiltration involving Amazon Web Services has raised concerns in the industry.
Palo Alto Networks,Palo Alto Networks faces potential lawsuit,2025-07-27 17:22:27+00:00,https://example.com/palo-alto-networks-lawsuit,A recent lawsuit involving Palo Alto Networks has raised concerns in the industry.
Fortinet,Fortinet faces potential vulnerability disclosure,2025-07-24 17:22:27+00:00,https://example.com/fortinet-vulnerability-disclosure,A recent vulnerability disclosure involving Fortinet has raised concerns in the industry.
Cisco,Cisco faces potential data breach,2025-07-22 17:22:27+00:00,https://example.com/cisco-data-breach,A recent data breach involving Cisco has raised concerns in the industry.
Meta,Meta faces potential vulnerability disclosure,2025-07-21 17:22:27+00:00,https://example.com/meta-vulnerability-disclosure,A recent vulnerability disclosure involving Meta has raised concerns in the industry.
Microsoft,Microsoft faces potential regulatory fine,2025-07-24 17:22:27+00:00,https://example.com/microsoft-regulatory-fine,A recent regulatory fine involving Microsoft has raised concerns in the industry.
Apple,Apple faces potential malware infiltration,2025-07-24 17:22:27+00:00,https://example.com/apple-malware-infiltration,A recent malware infiltration involving Apple has raised concerns in the industry.
Okta,Okta faces potential cybersecurity audit failure,2025-07-23 17:22:27+00:00,https://example.com/okta-cybersecurity-audit-failure,A recent cybersecurity audit failure involving Okta has raised concerns in the industry.
Palo Alto Networks,Palo Alto Networks faces potential malware infiltration,2025-07-21 17:22:27+00:00,https://example.com/palo-alto-networks-malware-infiltration,A recent malware infiltration involving Palo Alto Networks has raised concerns in the industry.
Microsoft,Microsoft faces potential cybersecurity audit failure,2025-07-24 17:22:27+00:00,https://example.com/microsoft-cybersecurity-audit-failure,A recent cybersecurity audit failure involving Microsoft has raised concerns in the industry.
CrowdStrike,CrowdStrike faces potential regulatory fine,2025-07-24 17:22:27+00:00,https://example.com/crowdstrike-regulatory-fine,A recent regulatory fine involving CrowdStrike has raised concerns in the industry.
Fortinet,Fortinet faces potential lawsuit,2025-07-21 17:22:27+00:00,https://example.com/fortinet-lawsuit,A recent lawsuit involving Fortinet has raised concerns in the industry.
Meta,Meta faces potential data breach,2025-07-21 17:22:27+00:00,https://example.com/meta-data-breach,A recent data breach involving Meta has raised concerns in the industry.
Amazon Web Services,Amazon Web Services faces potential lawsuit,2025-07-24 17:22:27+00:00,https://example.com/amazon-web-services-lawsuit,A recent lawsuit involving Amazon Web Services has raised concerns in the industry.
Okta,Okta faces potential regulatory fine,2025-07-24 17:22:27+00:00,https://example.com/okta-regulatory-fine,A recent regulatory fine involving Okta has raised concerns in the industry.
CrowdStrike,CrowdStrike faces potential lawsuit,2025-07-22 17:22:27+00:00,https://example.com/crowdstrike-lawsuit,A recent lawsuit involving CrowdStrike has raised concerns in the industry.
Okta,Okta faces potential ransomware attack,2025-07-28 17:22:27+00:00,https://example.com/okta-ransomware-attack,A recent ransomware attack involving Okta has raised concerns in the industry.
Apple,Apple faces potential data breach,2025-07-23 17:22:27+00:00,https://example.com/apple-data-breach,A recent data breach involving Apple has raised concerns in the industry.
Apple,Apple faces potential lawsuit,2025-07-28 17:22:27+00:00,https://example.com/apple-lawsuit,A recent lawsuit involving Apple has raised concerns in the industry.
Apple,Apple faces potential ransomware attack,2025-07-21 17:22:27+00:00,https://example.com/apple-ransomware-attack,A recent ransomware attack involving Apple has raised concerns in the industry.
Meta,Meta faces potential DDoS incident,2025-07-21 17:22:27+00:00,https://example.com/meta-DDoS-incident,A recent DDoS incident involving Meta has raised concerns in the industry.
Meta,Meta faces potential regulatory fine,2025-07-21 17:22:27+00:00,https://example.com/meta-regulatory-fine,A recent regulatory fine involving Meta has raised concerns in the industry.
CrowdStrike,CrowdStrike faces potential compliance violation,2025-07-27 17:22:27+00:00,https://example.com/crowdstrike-compliance-violation,A recent compliance violation involving CrowdStrike has raised concerns in the industry.
Apple,Apple faces potential compliance violation,2025-07-23 17:22:27+00:00,https://example.com/apple-compliance-violation,A recent compliance violation involving Apple has raised concerns in the industry.
CrowdStrike,CrowdStrike faces potential cybersecurity audit failure,2025-07-23 17:22:27+00:00,https://example.com/crowdstrike-cybersecurity-audit-failure,A recent cybersecurity audit failure involving CrowdStrike has raised concerns in the industry.
CrowdStrike,CrowdStrike faces potential malware infiltration,2025-07-27 17:22:27+00:00,https://example.com/crowdstrike-malware-infiltration,A recent malware infiltration involving CrowdStrike has raised concerns in the industry.
Okta,Okta faces potential DDoS incident,2025-07-22 17:22:27+00:00,https://example.com/okta-DDoS-incident,A recent DDoS incident involving Okta has raised concerns in the industry.
CrowdStrike,Hacker accessed PowerSchoolâ€™s network months before massive December breach,2025-03-10 16:52:43+00:00,https://techcrunch.com/2025/03/10/hacker-accessed-powerschools-network-months-before-massive-december-breach/,CrowdStrike says a hacker had access to PowerSchool's internal system as far back as August.
Microsoft,Storm-2603 Exploits SharePoint Flaws to Deploy Warlock Ransomware on Unpatched Systems,2025-07-24 16:07:00+05:30,https://thehackernews.com/2025/07/storm-2603-exploits-sharepoint-flaws-to.html,"Microsoft has revealed that one of the threat actors behind the active exploitation of SharePoint flaws is deploying Warlock ransomware on targeted systems.
The tech giant, in an update shared Wednesday, said the findings are based on an ""expanded analysis and threat intelligence from our continued monitoring of exploitation activity by Storm-2603.""
The threat actor attributed to the financially"
Microsoft,CISA Orders Urgent Patching After Chinese Hackers Exploit SharePoint Flaws in Live Attacks,2025-07-23 11:54:00+05:30,https://thehackernews.com/2025/07/cisa-orders-urgent-patching-after.html,"The U.S. Cybersecurity and Infrastructure Security Agency (CISA), on July 22, 2025, added two Microsoft SharePoint flaws, CVE-2025-49704 and CVE-2025-49706, to its Known Exploited Vulnerabilities (KEV) catalog, based on evidence of active exploitation.
To that end, Federal Civilian Executive Branch (FCEB) agencies are required to remediate identified vulnerabilities by July 23, 2025.
""CISA is"
Microsoft,Microsoft Links Ongoing SharePoint Exploits to Three Chinese Hacker Groups,2025-07-22 21:15:00+05:30,https://thehackernews.com/2025/07/microsoft-links-ongoing-sharepoint.html,"Microsoft has formally tied the exploitation of security flaws in internet-facing SharePoint Server instances to two Chinese hacking groups called Linen Typhoon and Violet Typhoon as early as July 7, 2025, corroborating earlier reports.
The tech giant said it also observed a third China-based threat actor, which it tracks as Storm-2603, weaponizing the flaws as well to obtain initial access to"
Cisco,Cisco Confirms Active Exploits Targeting ISE Flaws Enabling Unauthenticated Root Access,2025-07-22 18:38:00+05:30,https://thehackernews.com/2025/07/cisco-confirms-active-exploits.html,"Cisco on Monday updated its advisory of a set of recently disclosed security flaws in Identity Services Engine (ISE) and ISE Passive Identity Connector (ISE-PIC) to acknowledge active exploitation.
""In July 2025, the Cisco PSIRT [Product Security Incident Response Team], became aware of attempted exploitation of some of these vulnerabilities in the wild,"" the company said in an alert.
The"
Microsoft,"Hackers Exploit SharePoint Zero-Day Since July 7 to Steal Keys, Maintain Persistent Access",2025-07-22 13:29:00+05:30,https://thehackernews.com/2025/07/hackers-exploit-sharepoint-zero-day.html,"The recently disclosed critical Microsoft SharePoint vulnerability has been under exploitation as early as July 7, 2025, according to findings from Check Point Research.
The cybersecurity company said it observed first exploitation attempts targeting an unnamed major Western government, with the activity intensifying on July 18 and 19, spanning government, telecommunications, and software"
Microsoft,Microsoft Releases Urgent Patch for SharePoint RCE Flaw Exploited in Ongoing Cyber Attacks,2025-07-21 09:00:00+05:30,https://thehackernews.com/2025/07/microsoft-releases-urgent-patch-for.html,"Microsoft on Sunday released security patches for an actively exploited security flaw in SharePoint and also disclosed details of another vulnerability that it said has been addressed with ""more robust protections.""
The tech giant acknowledged it's ""aware of active attacks targeting on-premises SharePoint Server customers by exploiting vulnerabilities partially addressed by the July Security"
Microsoft,"Critical Unpatched SharePoint Zero-Day Actively Exploited, Breaches 75+ Company Servers",2025-07-20 15:22:00+05:30,https://thehackernews.com/2025/07/critical-microsoft-sharepoint-flaw.html,"A critical security vulnerability in Microsoft SharePoint Server has been weaponized as part of an ""active, large-scale"" exploitation campaign.
The zero-day flaw, tracked as CVE-2025-53770 (CVSS score: 9.8), has been described as a variant of CVE-2025-49704 (CVSS score: 8.8), a code injection and remote code execution bug in Microsoft SharePoint Server that was addressed by the tech giant as"
Microsoft,US Nuclear Agency Hacked in Microsoft SharePoint Frenzy,2025-07-23 16:23:17,https://www.darkreading.com/cyberattacks-data-breaches/us-nuclear-agency-hacked-microsoft-sharepoint,"Threat actors are piling on the zero-day vulnerabilities in SharePoint, including at least three Chinese nation-state cyber-espionage groups."
Microsoft,3 China Nation-State Actors Target SharePoint Bugs,2025-07-22 21:08:54,https://www.darkreading.com/application-security/3-china-nation-state-actors-sharepoint-bugs,"Hackers and cybercrime groups are part of a virtual feeding frenzy, after Microsoft's recent disclosure of new vulnerabilities in on-premises editions of SharePoint Server."
Microsoft,Microsoft Rushes Emergency Patch for Actively Exploited SharePoint 'ToolShell' Bug,2025-07-21 14:37:24,https://www.darkreading.com/remote-workforce/microsoft-rushes-emergency-fix-exploited-sharepoint-toolshell-flaw,"Malicious actors already have already pounced on the zero-day vulnerability, tracked as CVE-2025-53770, to compromise US government agencies and other businesses in ongoing and widespread attacks."
